track_id,dot_match_1,dot_score_1,dot_match_2,dot_score_2,dot_match_3,dot_score_3
TRVYEUW128F148C08D,TRFUJVJ128F426F2A2,3570.0,TRWSYHO128F4282346,2865.0,TRVDAHO128F92F231E,2436.0
TRCXKPC128F92FD04C,TRDPGXU128F9339C2A,3132.0,TRFUJVJ128F426F2A2,3012.0,TROIJDA128F9341E70,2988.0
TRMMALW128F92FD049,TRFUJVJ128F426F2A2,4597.0,TRDPGXU128F9339C2A,3722.0,TRWSYHO128F4282346,3671.0
TRJWAJC128F9327C4F,TRFUJVJ128F426F2A2,5557.0,TRDPGXU128F9339C2A,4567.0,TREBGAA128E078FC52,4088.0
TRPEBTH128F9327C4D,TRFUJVJ128F426F2A2,6673.0,TRDPGXU128F9339C2A,5569.0,TRWSYHO128F4282346,5237.0
TRNWHUD128F932E304,TRFUJVJ128F426F2A2,8789.0,TRWSYHO128F4282346,7434.0,TRDPGXU128F9339C2A,7016.0
TRFGGSX128F427A723,TRFUJVJ128F426F2A2,2328.0,TRDPGXU128F9339C2A,2215.0,TRCHZXW128E079288A,1918.0
TRPTCMZ128F9340B09,TRFUJVJ128F426F2A2,1913.0,TRWSYHO128F4282346,1790.0,TRQAWKR128F425EEC3,1585.0
TRVKLGW12903CB4523,TRFUJVJ128F426F2A2,1486.0,TRDPGXU128F9339C2A,1480.0,TROIJDA128F9341E70,1471.0
TRFBNZN128F9340B0E,TRFUJVJ128F426F2A2,2681.0,TRWSYHO128F4282346,1936.0,TRQAWKR128F425EEC3,1542.0
TRBYDKJ12903CA9D33,TRVJCDB128F4263466,1868.0,TRFUJVJ128F426F2A2,1536.0,TRKLJAG128F42B31CF,1227.0
TRWJKJK128F9338FEF,TRFUJVJ128F426F2A2,8737.0,TRWSYHO128F4282346,8094.0,TREBGAA128E078FC52,6661.0
TRUULBP12903CA9D23,TRFUJVJ128F426F2A2,1215.0,TRQAWKR128F425EEC3,1196.0,TRDPGXU128F9339C2A,1055.0
TRYYJHJ128F9340B19,TRFUJVJ128F426F2A2,1853.0,TRDPGXU128F9339C2A,1496.0,TRGLNKG128F9307689,1283.0
TRHHJCL12903CB44B7,TRFUJVJ128F426F2A2,2371.0,TRWSYHO128F4282346,2137.0,TRQAWKR128F425EEC3,1713.0
TRWZXDS128F427A71B,TRKLJAG128F42B31CF,2429.0,TRCHZXW128E079288A,2295.0,TREBGAA128E078FC52,2292.0
TRZDLWE12903CB44DE,TRWSYHO128F4282346,2415.0,TRFUJVJ128F426F2A2,2268.0,TREBGAA128E078FC52,2044.0
TRNZQVO128F427A71E,TRFUJVJ128F426F2A2,1825.0,TRDPGXU128F9339C2A,1532.0,TRWSYHO128F4282346,1506.0
TRAECHJ12903CC36DA,TRDPGXU128F9339C2A,2459.0,TRPBLTG128F933924A,2248.0,TRCHZXW128E079288A,2121.0
TRRVSIN128F9338FD5,TRFFSMS128F428BC88,1584.0,TRLUGVB128F428E704,1418.0,TRYAWRN128F42792CB,1222.0
TRYMMVG128F9340B1B,TRFUJVJ128F426F2A2,655.0,TRDPGXU128F9339C2A,542.0,TRFLWJZ128F425C9E4,529.0
TRKSEEY12903CCD312,TRXJTJZ128F4295464,902.0,TRYCBLK12903CE6A0E,889.0,TRFUJVJ128F426F2A2,799.0
TRFOGQC12903CA9D2E,TRFUJVJ128F426F2A2,2219.0,TRWSYHO128F4282346,1494.0,TRGLNKG128F9307689,1236.0
TREVCQU12903CCD318,TRFUJVJ128F426F2A2,2558.0,TRDPGXU128F9339C2A,2148.0,TREBGAA128E078FC52,1884.0
TRFLJNE12903CB44F1,TRFUJVJ128F426F2A2,2209.0,TRWSYHO128F4282346,1781.0,TREBGAA128E078FC52,1457.0
TRQNNKX12903CB44CA,TREBGAA128E078FC52,2215.0,TRFUJVJ128F426F2A2,2205.0,TRWSYHO128F4282346,2108.0
TRKNKGC128F42A746A,TRFUJVJ128F426F2A2,7547.0,TRWSYHO128F4282346,6158.0,TRGLNKG128F9307689,5473.0
TRWEHQE128F935A2D6,TRDPGXU128F9339C2A,2251.0,TRFUJVJ128F426F2A2,2160.0,TRYCBLK12903CE6A0E,2066.0
TRPMJOK128F92F317A,TRFUJVJ128F426F2A2,2103.0,TRDPGXU128F9339C2A,1440.0,TRWSYHO128F4282346,1435.0
TRGXECP12903CDDC43,TRFUJVJ128F426F2A2,3227.0,TRWSYHO128F4282346,2963.0,TREBGAA128E078FC52,2841.0
TREQYGT128E07859FA,TRFUJVJ128F426F2A2,4601.0,TRWSYHO128F4282346,3701.0,TREBGAA128E078FC52,3608.0
TROFEVE12903CD8AAA,TRFUJVJ128F426F2A2,2268.0,TRDPGXU128F9339C2A,2092.0,TRCHZXW128E079288A,1772.0
TRCFPJF128F428A872,TRFUJVJ128F426F2A2,7889.0,TRWSYHO128F4282346,7104.0,TREBGAA128E078FC52,6291.0
TRBFTHL128C7196B42,TRFUJVJ128F426F2A2,1609.0,TRWSYHO128F4282346,1603.0,TRGLNKG128F9307689,1567.0
TRFEGGQ128E07898AA,TRFUJVJ128F426F2A2,2237.0,TREAUAV128EF33FE50,1879.0,TRWSYHO128F4282346,1744.0
TRDDDDX128E0793212,TRFUJVJ128F426F2A2,1647.0,TRWSYHO128F4282346,1532.0,TRGLNKG128F9307689,1249.0
TRWBAGY128F93034BF,TRFUJVJ128F426F2A2,1431.0,TRGLNKG128F9307689,1312.0,TRDPGXU128F9339C2A,1285.0
TRLWIBC128E0792E2C,TRFUJVJ128F426F2A2,2719.0,TRDPGXU128F9339C2A,2110.0,TRUGLTC128F4227B93,1773.0
TRAZQIG128F146372E,TRFUJVJ128F426F2A2,2423.0,TRDPGXU128F9339C2A,2285.0,TRCHZXW128E079288A,1863.0
TRQUJCP128F4238206,TRFUJVJ128F426F2A2,1804.0,TRDPGXU128F9339C2A,1711.0,TRWSYHO128F4282346,1577.0
TRIDJMD128E078B984,TRFUJVJ128F426F2A2,4289.0,TRWSYHO128F4282346,2974.0,TRQAWKR128F425EEC3,2837.0
TRYRCXF128F424183D,TRFUJVJ128F426F2A2,2325.0,TRDPGXU128F9339C2A,2240.0,TRCHZXW128E079288A,1876.0
TRDQLTF128E0787809,TRFUJVJ128F426F2A2,4866.0,TRWSYHO128F4282346,4115.0,TREBGAA128E078FC52,3892.0
TRUAAEQ128F423C52D,TRZZQIP128F92EFEAD,1407.0,TRDOJIR128F42840C0,1321.0,TRKKUWM128F92E4E1C,1148.0
